ID,Reference,Journal,Year,Main Author,Country,latitude,longitude,OrganicCarbonClassification,controlmean,controlsd,treatmentmean,treatmentsd,controln,treatmentn,Notillageyears,fertilize kgN/ha,monoculture,Layer,layer,Altitude-m,MAT°C,MAP mm,BD,soil types,pH,Texture
82,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,1.34,0.29,1.36,0.69,3,3,3,852,No,20-40,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
83,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,1.48,0.26,1.68,0.55,3,3,3,996,No,20-40,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
84,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,1.5,0.09,1.12,0.15,3,3,3,924,No,40-60,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
85,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,1.21,0.41,0.73,0.12,3,3,3,924,No,40-60,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
86,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,1.37,0.43,0.71,0.57,3,3,3,852,No,40-60,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
87,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,0.92,0.05,0.28,0.33,3,3,3,996,No,40-60,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
88,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,5.605859591,0.299207229,6.354431546,0.498678715,3,3,3,924,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
89,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,5.03003501,2.293922089,6.152892943,1.047225302,3,3,3,924,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
90,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,6.296849088,0.64828233,6.728717523,2.692865062,3,3,3,852,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
91,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,5.778606965,0.448810844,7.477289479,0.64828233,3,3,3,996,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
92,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,4.406896552,0.573368543,4.696551724,1.110901552,3,3,3,924,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
93,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,3.393103448,1.469256892,3.6,1.325914756,3,3,3,924,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
94,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,3.331034483,0.645039611,3.744827586,0.394190873,3,3,3,852,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
95,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,3.413793103,0.931723883,3.910344828,0.860052815,3,3,3,996,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
96,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,2.34439834,0.574954625,1.970954357,0.790562609,3,3,3,924,No,20-40,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
97,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,1.825726141,0.539019961,2.44813278,0.539019961,3,3,3,924,No,20-40,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
98,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,2.012448133,0.17967332,3.319502075,0.718693281,3,3,3,852,No,20-40,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
99,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,2.199170124,1.042105258,2.780082988,2.227949172,3,3,3,996,No,20-40,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
100,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,2.033195021,0.539019961,2.157676349,0.610889289,3,3,3,924,No,40-60,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
101,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,1.929460581,1.042105258,2.261410788,1.257713242,3,3,3,924,No,40-60,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
102,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,1.804979253,0.610889289,2.033195021,0.467150633,3,3,3,852,No,40-60,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
103,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,SOC,2.676348548,0.215607984,1.991701245,1.078039922,3,3,3,996,No,40-60,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
104,Long-term effects of tillage and nitrogen fertilization on soi C and N fractions in a corn–soybean rotation,Canadian Journal of Soil Science,2022,Mervin St. Luce,Canada,45.3,-73.35,MAOC,14.84,4,17.32,2.7,4,4,20,160,No,0-20,Top,39,6.2,984,1.590000033,,6.199999809,loam
105,Long-term effects of tillage and nitrogen fertilization on soi C and N fractions in a corn–soybean rotation,Canadian Journal of Soil Science,2022,Mervin St. Luce,Canada,45.3,-73.35,POC,2.01,0.9,3.14,1.9,4,4,20,160,No,0-20,Top,39,6.2,984,1.590000033,,6.199999809,loam
106,Long-term effects of tillage and nitrogen fertilization on soi C and N fractions in a corn–soybean rotation,Canadian Journal of Soil Science,2022,Mervin St. Luce,Canada,45.3,-73.35,SOC,16.88,4.2,20.62,3.2,4,4,20,160,No,0-20,Top,39,6.2,984,1.590000033,,6.199999809,loam
107,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,MAOC,3.53,0.12,4.01,0.04,3,3,5,120,Yes,0-20,Top,728,12.6,490,1.710000038,,8,loam
108,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,MAOC,5.38,0.11,3.82,0.1,3,3,5,120,Yes,0-20,Top,728,12.6,490,1.710000038,,8,loam
109,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,MAOC,4.98,0.03,2.66,0.05,3,3,5,120,Yes,20-40,Sub,728,12.6,490,1.74000001,,8.199999809,loam
110,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,MAOC,3.91,0.02,2.7,0.02,3,3,5,120,Yes,20-40,Sub,728,12.6,490,1.74000001,,8.199999809,loam
111,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,MAOC,2.87,0.03,2.48,0,3,3,5,120,Yes,40-60,Sub,728,12.6,490,1.74000001,,8.300000191,loam
112,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,MAOC,3.9,0.05,4.77,0.06,3,3,5,120,Yes,0-20,Top,728,12.6,490,1.710000038,,8,loam
113,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,MAOC,3.87,0.07,4.17,0.02,3,3,5,120,Yes,0-20,Top,728,12.6,490,1.710000038,,8,loam
114,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,MAOC,2.78,0.06,2.7,0.06,3,3,5,120,Yes,20-40,Sub,728,12.6,490,1.74000001,,8.199999809,loam
115,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,MAOC,2.06,0.04,1.83,0.06,3,3,5,120,Yes,20-40,Sub,728,12.6,490,1.74000001,,8.199999809,loam
116,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,MAOC,1.61,0.02,1.32,0.03,3,3,5,120,Yes,40-60,Sub,728,12.6,490,1.74000001,,8.300000191,loam
117,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,POC,1.58,0.12,1.55,0.04,3,3,5,120,Yes,0-20,Top,728,12.6,490,1.710000038,,8,loam
118,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,POC,1.73,0.11,1.6,0.1,3,3,5,120,Yes,0-20,Top,728,12.6,490,1.710000038,,8,loam
119,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,POC,1.4,0.03,1.01,0.05,3,3,5,120,Yes,20-40,Sub,728,12.6,490,1.74000001,,8.199999809,loam
120,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,POC,0.99,0.02,0.35,0.02,3,3,5,120,Yes,20-40,Sub,728,12.6,490,1.74000001,,8.199999809,loam
121,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,POC,0.4,0.03,0.25,0,3,3,5,120,Yes,40-60,Sub,728,12.6,490,1.74000001,,8.300000191,loam
122,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,POC,1.32,0.05,1.36,0.06,3,3,5,120,Yes,0-20,Top,728,12.6,490,1.710000038,,8,loam
123,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,POC,1.51,0.07,1.04,0.02,3,3,5,120,Yes,0-20,Top,728,12.6,490,1.710000038,,8,loam
124,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,POC,0.69,0.06,0.59,0.06,3,3,5,120,Yes,20-40,Sub,728,12.6,490,1.74000001,,8.199999809,loam
125,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,POC,0.06,0.02,0.1,0.03,3,3,5,120,Yes,40-60,Sub,728,12.6,490,1.74000001,,8.300000191,loam
126,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,SOC,5.1,0.13,5.57,0,3,3,5,120,Yes,0-20,Top,728,12.6,490,1.710000038,,8,loam
127,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,SOC,7.1,0.3,5.44,0.28,3,3,5,120,Yes,0-20,Top,728,12.6,490,1.710000038,,8,loam
128,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,SOC,6.39,0.17,3.66,0.09,3,3,5,120,Yes,20-40,Sub,728,12.6,490,1.74000001,,8.199999809,loam
129,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,SOC,4.9,0.15,3.05,0.37,3,3,5,120,Yes,20-40,Sub,728,12.6,490,1.74000001,,8.199999809,loam
130,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,SOC,3.27,0.21,2.73,0.15,3,3,5,120,Yes,40-60,Sub,728,12.6,490,1.74000001,,8.300000191,loam
131,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,SOC,5.21,0.14,6.13,0.09,3,3,5,120,Yes,0-20,Top,728,12.6,490,1.710000038,,8,loam
132,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,SOC,5.39,0.11,5.23,0.28,3,3,5,120,Yes,0-20,Top,728,12.6,490,1.710000038,,8,loam
133,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,SOC,3.46,0.12,3.28,0.09,3,3,5,120,Yes,20-40,Sub,728,12.6,490,1.74000001,,8.199999809,loam
134,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,SOC,2.71,0.12,2.07,0.2,3,3,5,120,Yes,20-40,Sub,728,12.6,490,1.74000001,,8.199999809,loam
135,"Subsoiling during summer fallow in rainfed
winter-wheat fields enhances soil organic
carbon sequestration on the Loess Plateau in
China",PLOS ONE,2021,Huiyu Zhang,CHINA,35.58333333,111.4666667,SOC,1.67,0.19,1.42,0.11,3,3,5,120,Yes,40-60,Sub,728,12.6,490,1.74000001,,8.300000191,loam
136,"Carbon fractions as indicators of organic matter dynamics
in chestnut orchards under different soil management
practices",Agroforestry Systems,2017,Olga Borges,Portugal,41.88111111,-6.836388889,MAOC,11.18,2.21,10.24,2.37,16,16,17,,Yes,0-20,Top,907,12.3,758.3,1.75,,5.25,sandyloam
137,"Carbon fractions as indicators of organic matter dynamics
in chestnut orchards under different soil management
practices",Agroforestry Systems,2017,Olga Borges,Portugal,41.88111111,-6.836388889,MAOC,9.34,1.58,8.27,1.54,16,16,17,,Yes,0-20,Top,907,12.3,758.3,1.75,,5.1,sandyloam
138,"Carbon fractions as indicators of organic matter dynamics
in chestnut orchards under different soil management
practices",Agroforestry Systems,2017,Olga Borges,Portugal,41.88111111,-6.836388889,MAOC,10.26,2.11,9.26,2.21,16,16,17,,Yes,0-20,Top,907,12.3,758.3,1.75,,5.099999905,sandyloam
139,"Carbon fractions as indicators of organic matter dynamics
in chestnut orchards under different soil management
practices",Agroforestry Systems,2017,Olga Borges,Portugal,41.88111111,-6.836388889,POC,3.22,0.9,4.57,1.48,16,16,17,,Yes,0-20,Top,907,12.3,758.3,1.75,,5.25,sandyloam
140,"Carbon fractions as indicators of organic matter dynamics
in chestnut orchards under different soil management
practices",Agroforestry Systems,2017,Olga Borges,Portugal,41.88111111,-6.836388889,POC,1.44,0.24,1.58,0.31,16,16,17,,Yes,0-20,Top,907,12.3,758.3,1.75,,5.1,sandyloam
141,"Carbon fractions as indicators of organic matter dynamics
in chestnut orchards under different soil management
practices",Agroforestry Systems,2017,Olga Borges,Portugal,41.88111111,-6.836388889,SOC,14.8,1.85,15.31,3.82,16,16,17,,Yes,0-20,Top,907,12.3,758.3,1.75,,5.25,sandyloam
142,"Carbon fractions as indicators of organic matter dynamics
in chestnut orchards under different soil management
practices",Agroforestry Systems,2017,Olga Borges,Portugal,41.88111111,-6.836388889,SOC,10.89,1.83,9.77,1.34,16,16,17,,Yes,0-20,Top,907,12.3,758.3,1.75,,5.1,sandyloam
143,"Carbon fractions as indicators of organic matter dynamics
in chestnut orchards under different soil management
practices",Agroforestry Systems,2017,Olga Borges,Portugal,41.88111111,-6.836388889,SOC,12.85,2.69,12.54,3.98,16,16,17,,Yes,0-20,Top,907,12.3,758.3,1.75,,5.099999905,sandyloam
144,"Tillage and Cover Cropping Effects on Aggregate-
Protected Carbon in Cotton and Tomato",Soil Science Society of America Journal,2007,Jessica J. Veenstra,USA,36.34138889,-120.1205556,MAOC,3.93,0.37,5.1,0.52,8,8,6,,No,0-20,Top,85,17.00833348,180,1.690000057,,7.5,clayloam
145,"Tillage and Cover Cropping Effects on Aggregate-
Protected Carbon in Cotton and Tomato",Soil Science Society of America Journal,2007,Jessica J. Veenstra,USA,36.34138889,-120.1205556,MAOC,4.17,0.88,3.7,0.44,8,8,6,,No,0-20,Top,85,17.00833348,180,1.690000057,,7.5,clayloam
146,Carbon and nitrogen stocks in a Rhodic Nitisol under different tillage methods and mineral and organic fertilizers,Revista Brasileira De Ciência Do Solo,2023,Camila Rosana Wuaden,Brazil,-27.31472222,-51.99027778,MAOC,1.707692308,0.11,1.646153846,0.14,2,2,10,140,No,0-20,Top,581,18,1800,1.809999943,Nitossolo Vermelho distrofsamrrico,5.3,loam
147,Carbon and nitrogen stocks in a Rhodic Nitisol under different tillage methods and mineral and organic fertilizers,Revista Brasileira De Ciência Do Solo,2023,Camila Rosana Wuaden,Brazil,-27.31472222,-51.99027778,MAOC,2.707692308,0.16,2.446153846,0.22,2,2,10,140,No,0-20,Top,581,18,1800,1.809999943,Nitossolo Vermelho distrofsamrrico,5.3,loam
148,Carbon and nitrogen stocks in a Rhodic Nitisol under different tillage methods and mineral and organic fertilizers,Revista Brasileira De Ciência Do Solo,2023,Camila Rosana Wuaden,Brazil,-27.31472222,-51.99027778,MAOC,1.576923077,0.19,1.353846154,0.1,2,2,10,140,No,0-20,Top,581,18,1800,1.809999943,Nitossolo Vermelho distrofsamrrico,6.699999809,loam
149,Carbon and nitrogen stocks in a Rhodic Nitisol under different tillage methods and mineral and organic fertilizers,Revista Brasileira De Ciência Do Solo,2023,Camila Rosana Wuaden,Brazil,-27.31472222,-51.99027778,MAOC,1.3,0.13,1.384615385,0.08,2,2,10,140,No,20-40,Sub,581,18,1800,1.960000038,Nitossolo Vermelho distrofsamrrico,6.400000095,clay
150,Carbon and nitrogen stocks in a Rhodic Nitisol under different tillage methods and mineral and organic fertilizers,Revista Brasileira De Ciência Do Solo,2023,Camila Rosana Wuaden,Brazil,-27.31472222,-51.99027778,POC,2.230769231,0.19,4.523076923,0.35,2,2,10,140,No,0-20,Top,581,18,1800,1.809999943,Nitossolo Vermelho distrofsamrrico,5.3,loam
151,Carbon and nitrogen stocks in a Rhodic Nitisol under different tillage methods and mineral and organic fertilizers,Revista Brasileira De Ciência Do Solo,2023,Camila Rosana Wuaden,Brazil,-27.31472222,-51.99027778,POC,2.138461538,0.19,3.492307692,0.33,2,2,10,140,No,0-20,Top,581,18,1800,1.809999943,Nitossolo Vermelho distrofsamrrico,5.3,loam
152,Carbon and nitrogen stocks in a Rhodic Nitisol under different tillage methods and mineral and organic fertilizers,Revista Brasileira De Ciência Do Solo,2023,Camila Rosana Wuaden,Brazil,-27.31472222,-51.99027778,POC,0.892307692,0.12,1.769230769,0.11,2,2,10,140,No,0-20,Top,581,18,1800,1.809999943,Nitossolo Vermelho distrofsamrrico,6.699999809,loam
153,Carbon and nitrogen stocks in a Rhodic Nitisol under different tillage methods and mineral and organic fertilizers,Revista Brasileira De Ciência Do Solo,2023,Camila Rosana Wuaden,Brazil,-27.31472222,-51.99027778,POC,0.661538462,0.14,1.353846154,0.12,2,2,10,140,No,20-40,Sub,581,18,1800,1.960000038,Nitossolo Vermelho distrofsamrrico,6.400000095,clay
154,Carbon and nitrogen stocks in a Rhodic Nitisol under different tillage methods and mineral and organic fertilizers,Revista Brasileira De Ciência Do Solo,2023,Camila Rosana Wuaden,Brazil,-27.31472222,-51.99027778,SOC,3.938461538,0.667575776,6.169230769,1.29930461,2,2,10,140,No,0-20,Top,581,18,1800,1.809999943,Nitossolo Vermelho distrofsamrrico,5.3,loam
155,Carbon and nitrogen stocks in a Rhodic Nitisol under different tillage methods and mineral and organic fertilizers,Revista Brasileira De Ciência Do Solo,2023,Camila Rosana Wuaden,Brazil,-27.31472222,-51.99027778,SOC,4.846153846,0.82143113,5.938461538,1.250702193,2,2,10,140,No,0-20,Top,581,18,1800,1.809999943,Nitossolo Vermelho distrofsamrrico,5.3,loam
156,Carbon and nitrogen stocks in a Rhodic Nitisol under different tillage methods and mineral and organic fertilizers,Revista Brasileira De Ciência Do Solo,2023,Camila Rosana Wuaden,Brazil,-27.31472222,-51.99027778,SOC,2.469230769,0.418538719,3.123076923,0.657752708,2,2,10,140,No,0-20,Top,581,18,1800,1.809999943,Nitossolo Vermelho distrofsamrrico,6.699999809,loam
157,Carbon and nitrogen stocks in a Rhodic Nitisol under different tillage methods and mineral and organic fertilizers,Revista Brasileira De Ciência Do Solo,2023,Camila Rosana Wuaden,Brazil,-27.31472222,-51.99027778,SOC,1.961538462,0.332484029,2.738461538,0.57674868,2,2,10,140,No,20-40,Sub,581,18,1800,1.960000038,Nitossolo Vermelho distrofsamrrico,6.400000095,clay
158,"IMPACT OF CONSERVATION TILLAGE ON ORGANIC MATTER DYNAMICS IN
LOESS DRYLAND SOIL, PUNJAB, PAKISTAN",The Journal of Animal and Plant Sciences,2022,I. Naz,Pakistan,33.6,73.03333333,MAOC,3.71,0.52,4.43,0.3,4,4,2,,Yes,0-20,Top,517,21.60833359,948,,,,sandyclayloam
159,"IMPACT OF CONSERVATION TILLAGE ON ORGANIC MATTER DYNAMICS IN
LOESS DRYLAND SOIL, PUNJAB, PAKISTAN",The Journal of Animal and Plant Sciences,2022,I. Naz,Pakistan,33.6,73.03333333,MAOC,3.94,0.31,4.56,0.5,4,4,2,,No,0-20,Top,517,21.60833359,948,,,,sandyclayloam
160,"IMPACT OF CONSERVATION TILLAGE ON ORGANIC MATTER DYNAMICS IN
LOESS DRYLAND SOIL, PUNJAB, PAKISTAN",The Journal of Animal and Plant Sciences,2022,I. Naz,Pakistan,33.6,73.03333333,MAOC,3.59,0.25,4.66,0.31,4,4,2,,Yes,0-20,Top,517,21.60833359,948,,,,sandyclayloam
161,"IMPACT OF CONSERVATION TILLAGE ON ORGANIC MATTER DYNAMICS IN
LOESS DRYLAND SOIL, PUNJAB, PAKISTAN",The Journal of Animal and Plant Sciences,2022,I. Naz,Pakistan,33.6,73.03333333,MAOC,3.53,0.31,4.81,0.31,4,4,2,,No,0-20,Top,517,21.60833359,948,,,,sandyclayloam
162,"IMPACT OF CONSERVATION TILLAGE ON ORGANIC MATTER DYNAMICS IN
LOESS DRYLAND SOIL, PUNJAB, PAKISTAN",The Journal of Animal and Plant Sciences,2022,I. Naz,Pakistan,33.6,73.03333333,MAOC,3.75,0.3,4.7,0.45,4,4,2,,Yes,0-20,Top,517,21.60833359,948,,,,sandyclayloam
163,"IMPACT OF CONSERVATION TILLAGE ON ORGANIC MATTER DYNAMICS IN
LOESS DRYLAND SOIL, PUNJAB, PAKISTAN",The Journal of Animal and Plant Sciences,2022,I. Naz,Pakistan,33.6,73.03333333,MAOC,3.64,0.45,4.92,0.3,4,4,2,,No,0-20,Top,517,21.60833359,948,,,,sandyclayloam
